Nkosenhle Radebe | operation insert count 0 | operation find count = 3
Lubanzi Davids | operation insert count 1 | operation find count = 7
Rethabile Dlamini | operation insert count 2 | operation find count = 5
Lebogang Ngwenya | operation insert count 2 | operation find count = 5
Katlego Chauke | operation insert count 2 | operation find count = 9
Mia Buthelezi | operation insert count 3 | operation find count = 7
Olerato Mathebula | operation insert count 3 | operation find count = 15
Minenhle Mosia | operation insert count 3 | operation find count = 1
Nkosenhle Tshabalala | operation insert count 3 | operation find count = 13
Ofentse Tsotetsi | operation insert count 4 | operation find count = 5
Othalive Hendricks | operation insert count 4 | operation find count = 3
Jayden Dyantyi | operation insert count 8 | operation find count = 13
Oratilwe Mthembu | operation insert count 3 | operation find count = 11
Junior Nkuna | operation insert count 4 | operation find count = 17
Lethabo Olyn | operation insert count 3 | operation find count = 17
Phenyo Nkuna | operation insert count 5 | operation find count = 9
Katlego Modise | operation insert count 4 | operation find count = 5
Iminathi Maseko | operation insert count 5 | operation find count = 17
Letlotlo Motaung | operation insert count 4 | operation find count = 17
Siyabonga Modise | operation insert count 5 | operation find count = 17
Lubanzi Shabangu | operation insert count 5 | operation find count = 13
Bokamoso Modise | operation insert count 5 | operation find count = 15
Bokamoso Tsotetsi | operation insert count 5 | operation find count = 11
Rethabile Ngcobo | operation insert count 5 | operation find count = 17
Alwande Shabangu | operation insert count 4 | operation find count = 15
Asemahle Witbooi | operation insert count 4 | operation find count = 9
Iminathi Gumede | operation insert count 4 | operation find count = 9
Bokang Booysen | operation insert count 5 | operation find count = 13
Warona Tshabalala | operation insert count 5 | operation find count = 13
Likuwe Mkhize | operation insert count 5 | operation find count = 7
Reneilwe Mudau | operation insert count 5 | operation find count = 11
Lingomso Madikizela | operation insert count 5 | operation find count = 15
Khayone Nkosi | operation insert count 4 | operation find count = 11
Olothando Mahlangu | operation insert count 6 | operation find count = 19
Hlelokuhle Sithole | operation insert count 4 | operation find count = 15
Likuwe Beukes | operation insert count 5 | operation find count = 19
Reneilwe Van | operation insert count 5 | operation find count = 9
Leah Jacobs | operation insert count 5 | operation find count = 19
Rethabile Maseko | operation insert count 5 | operation find count = 23
Alwande Motaung | operation insert count 5 | operation find count = 7
Angel Peter | operation insert count 5 | operation find count = 7
Ava Tsotetsi | operation insert count 6 | operation find count = 15
Angel Khumalo | operation insert count 6 | operation find count = 9
Omaatla Maseko | operation insert count 6 | operation find count = 15
Remofilwe Mathebula | operation insert count 6 | operation find count = 21
Sphesihle Mudau | operation insert count 6 | operation find count = 15
Bayanda Nkuna | operation insert count 5 | operation find count = 11
Onthatile Maluleke | operation insert count 6 | operation find count = 13
Esihle Witbooi | operation insert count 5 | operation find count = 13
Okuhle Mudau | operation insert count 6 | operation find count = 19
