Banele Olyn | operation insert count 0 | operation find count = 3
Nkosenhle Chauke | operation insert count 1 | operation find count = 11
Katleho Smith | operation insert count 1 | operation find count = 11
Letlotlo Baloyi | operation insert count 2 | operation find count = 15
Iminathi Sithole | operation insert count 2 | operation find count = 9
Mia Molefe | operation insert count 2 | operation find count = 11
Jayden Jack | operation insert count 2 | operation find count = 7
Noah Jack | operation insert count 3 | operation find count = 13
Lingomso Mthembu | operation insert count 3 | operation find count = 11
Ofentse Klaas | operation insert count 4 | operation find count = 11
Caleb Ndou | operation insert count 4 | operation find count = 15
Lesedi Williams | operation insert count 3 | operation find count = 9
Olerato Tsotetsi | operation insert count 4 | operation find count = 7
Liam Klaas | operation insert count 4 | operation find count = 19
Katleho Olyn | operation insert count 4 | operation find count = 21
Lisakhanya Ngobeni | operation insert count 4 | operation find count = 5
Relebohile Shabangu | operation insert count 11 | operation find count = 21
Omolemo Baloyi | operation insert count 4 | operation find count = 13
Ava Ngwenya | operation insert count 5 | operation find count = 15
Siyabonga Malatji | operation insert count 4 | operation find count = 1
Kamogelo Jack | operation insert count 6 | operation find count = 17
Ayabonga Daniels | operation insert count 4 | operation find count = 5
Likuwe Tshabalala | operation insert count 5 | operation find count = 11
Onthatile Adams | operation insert count 5 | operation find count = 19
Lesedi Davids | operation insert count 4 | operation find count = 11
Onthatile Shabangu | operation insert count 5 | operation find count = 5
Kamogelo Louw | operation insert count 4 | operation find count = 13
Amohelang Maluleke | operation insert count 5 | operation find count = 9
Omphile Motloung | operation insert count 5 | operation find count = 9
Lingomso Daniels | operation insert count 5 | operation find count = 21
Khayone Louw | operation insert count 5 | operation find count = 23
Liam Dlamini | operation insert count 5 | operation find count = 13
Isabella Mokoena | operation insert count 5 | operation find count = 11
Siphosethu Mnisi | operation insert count 5 | operation find count = 9
Omphile Mokoena | operation insert count 6 | operation find count = 17
Amahle Radebe | operation insert count 5 | operation find count = 7
Iminathi Mnisi | operation insert count 8 | operation find count = 15
Siyabonga Shabangu | operation insert count 5 | operation find count = 17
Melokuhle Ndou | operation insert count 5 | operation find count = 17
Sphesihle Ndlovu | operation insert count 5 | operation find count = 11
Ava Chauke | operation insert count 5 | operation find count = 15
Jayden Radebe | operation insert count 6 | operation find count = 13
Onthatile Smith | operation insert count 5 | operation find count = 13
Kamohelo Jack | operation insert count 11 | operation find count = 19
Caleb Ngcobo | operation insert count 6 | operation find count = 13
Amahle Mkhize | operation insert count 6 | operation find count = 5
Leah Hendricks | operation insert count 5 | operation find count = 15
Kamogelo Jack | operation insert count 6 | operation find count = 17
Alunamda Khumalo | operation insert count 5 | operation find count = 21
Isabella Shabangu | operation insert count 6 | operation find count = 21
Emihle Booysen | operation insert count 5 | operation find count = 19
Lisakhanya Motloung | operation insert count 10 | operation find count = 19
Amogelang Nhlapo | operation insert count 6 | operation find count = 15
Angel Khumalo | operation insert count 6 | operation find count = 11
Othalive Mnisi | operation insert count 6 | operation find count = 15
Angel Gumede | operation insert count 6 | operation find count = 21
Katleho Williams | operation insert count 5 | operation find count = 19
Omolemo Petersen | operation insert count 7 | operation find count = 13
Rorisang Olyn | operation insert count 6 | operation find count = 11
Karabo Mnisi | operation insert count 10 | operation find count = 17
Oratilwe Motloung | operation insert count 6 | operation find count = 21
Thandolwethu Ngwenya | operation insert count 6 | operation find count = 9
Omolemo Mahlangu | operation insert count 6 | operation find count = 13
Jayden Mudau | operation insert count 7 | operation find count = 7
Ofentse Radebe | operation insert count 7 | operation find count = 9
Bokang Radebe | operation insert count 7 | operation find count = 15
Angel Booysen | operation insert count 6 | operation find count = 7
Phenyo Mohlala | operation insert count 7 | operation find count = 19
Leah Dlamini | operation insert count 6 | operation find count = 19
Lethokuhle Tshabalala | operation insert count 7 | operation find count = 17
Bonolo Louw | operation insert count 4 | operation find count = 17
Isabella Louw | operation insert count 5 | operation find count = 21
Tshegofatso Daniels | operation insert count 6 | operation find count = 17
Bokang Smith | operation insert count 7 | operation find count = 13
Angel Ngobeni | operation insert count 6 | operation find count = 15
Katleho Abrahams | operation insert count 6 | operation find count = 21
Reneilwe Mkhize | operation insert count 6 | operation find count = 19
Amohelang Ndou | operation insert count 6 | operation find count = 21
Kamogelo Baloyi | operation insert count 6 | operation find count = 11
Relebohile Madikizela | operation insert count 7 | operation find count = 9
Asemahle Adams | operation insert count 6 | operation find count = 11
Luthando Ngwenya | operation insert count 7 | operation find count = 21
Omphile Jack | operation insert count 7 | operation find count = 19
Amogelang Motloung | operation insert count 7 | operation find count = 13
Iminathi Shabangu | operation insert count 6 | operation find count = 11
Ofentse Witbooi | operation insert count 6 | operation find count = 17
Amogelang Madikizela | operation insert count 10 | operation find count = 17
Amogelang Petersen | operation insert count 7 | operation find count = 9
Lesedi Jacobs | operation insert count 6 | operation find count = 13
Reatlegile Mkhize | operation insert count 7 | operation find count = 9
Aphelele Cloete | operation insert count 6 | operation find count = 21
Mpho Mthembu | operation insert count 7 | operation find count = 21
Siphesihle Mahlangu | operation insert count 7 | operation find count = 19
Aphelele Smith | operation insert count 7 | operation find count = 19
Omaatla Nkuna | operation insert count 7 | operation find count = 7
Rorisang Petersen | operation insert count 7 | operation find count = 19
Amohelang Ngwenya | operation insert count 7 | operation find count = 21
Oratile Jack | operation insert count 7 | operation find count = 15
Luphawu Mkhize | operation insert count 8 | operation find count = 11
Alunamda Shabangu | operation insert count 7 | operation find count = 19
Caleb Shabangu | operation insert count 7 | operation find count = 17
Katlego Abrahams | operation insert count 6 | operation find count = 9
Philasande Molefe | operation insert count 7 | operation find count = 13
Leano Louw | operation insert count 12 | operation find count = 21
Ava Tsotetsi | operation insert count 6 | operation find count = 13
Onthatile Maseko | operation insert count 7 | operation find count = 11
Omaatla Molefe | operation insert count 8 | operation find count = 17
Lesedi Beukes | operation insert count 7 | operation find count = 13
Asemahle Ndou | operation insert count 7 | operation find count = 17
Iminathi Tshabalala | operation insert count 7 | operation find count = 17
Junior Khumalo | operation insert count 6 | operation find count = 17
Nkosenhle Khoza | operation insert count 7 | operation find count = 9
Alunamda Dlamini | operation insert count 7 | operation find count = 19
Ofentse Nkosi | operation insert count 8 | operation find count = 13
Melokuhle Maluleke | operation insert count 8 | operation find count = 11
Ofentse Klaas | operation insert count 10 | operation find count = 19
Amohelang Petersen | operation insert count 8 | operation find count = 19
Siyabonga Mnisi | operation insert count 8 | operation find count = 19
Amohelang Khumalo | operation insert count 8 | operation find count = 21
Karabo Witbooi | operation insert count 6 | operation find count = 17
Bandile Williams | operation insert count 6 | operation find count = 17
Thandolwethu Mosia | operation insert count 7 | operation find count = 7
Kamogelo Smith | operation insert count 10 | operation find count = 17
Luke Motloung | operation insert count 8 | operation find count = 15
Mia Klaas | operation insert count 8 | operation find count = 17
Liam Radebe | operation insert count 5 | operation find count = 11
Esihle Mthembu | operation insert count 8 | operation find count = 13
Kungawo Daniels | operation insert count 7 | operation find count = 15
Liam Witbooi | operation insert count 7 | operation find count = 13
Siphesihle Tsotetsi | operation insert count 7 | operation find count = 15
Luke Witbooi | operation insert count 7 | operation find count = 21
Lubanzi Smith | operation insert count 7 | operation find count = 15
Omphile Klaas | operation insert count 11 | operation find count = 21
Lebogang Khumalo | operation insert count 7 | operation find count = 15
Bokang Smith | operation insert count 7 | operation find count = 13
Leano Smith | operation insert count 8 | operation find count = 21
Lesedi Mthembu | operation insert count 9 | operation find count = 17
Isabella Khoza | operation insert count 8 | operation find count = 19
Lebogang Cloete | operation insert count 8 | operation find count = 17
Alwande Ndou | operation insert count 7 | operation find count = 19
Iminathi Mnisi | operation insert count 8 | operation find count = 15
Naledi Shabangu | operation insert count 6 | operation find count = 15
Onthatile Mkhize | operation insert count 8 | operation find count = 15
Remofilwe Mokoena | operation insert count 8 | operation find count = 7
Noah Tsotetsi | operation insert count 6 | operation find count = 17
Mia Dlamini | operation insert count 8 | operation find count = 17
Tshegofatso Malatji | operation insert count 9 | operation find count = 23
Khayone Hendricks | operation insert count 8 | operation find count = 21
Tshegofatso Jacobs | operation insert count 8 | operation find count = 25
Noah Van | operation insert count 6 | operation find count = 19
Rorisang Jacobs | operation insert count 9 | operation find count = 15
Omphile Olyn | operation insert count 7 | operation find count = 15
Emihle Van | operation insert count 7 | operation find count = 13
Omphile Jack | operation insert count 7 | operation find count = 19
Lwandle Moeng | operation insert count 9 | operation find count = 15
Tshegofatso Nhlapo | operation insert count 7 | operation find count = 19
Oratilwe Tsotetsi | operation insert count 7 | operation find count = 21
Lingomso Cloete | operation insert count 9 | operation find count = 13
Alunamda Molefe | operation insert count 9 | operation find count = 15
Bayanda Nhlapo | operation insert count 8 | operation find count = 13
Lethabo Mkhize | operation insert count 7 | operation find count = 17
Isabella Mokoena | operation insert count 5 | operation find count = 11
Luke Mokoena | operation insert count 9 | operation find count = 13
Reneilwe Maseko | operation insert count 9 | operation find count = 19
Amahle Mosia | operation insert count 9 | operation find count = 21
Ofentse Mthembu | operation insert count 8 | operation find count = 15
Asemahle Molefe | operation insert count 9 | operation find count = 13
Ayabonga Molefe | operation insert count 9 | operation find count = 17
Onthatile Hendricks | operation insert count 9 | operation find count = 19
Siphesihle Mokoena | operation insert count 9 | operation find count = 17
Likuwe Modise | operation insert count 8 | operation find count = 11
Reatlegile Khumalo | operation insert count 8 | operation find count = 13
Nkosenhle Gumede | operation insert count 9 | operation find count = 15
Faith Baloyi | operation insert count 8 | operation find count = 19
Omaatla Van | operation insert count 7 | operation find count = 21
Kungawo Tsotetsi | operation insert count 7 | operation find count = 15
Okuhle Sithole | operation insert count 7 | operation find count = 21
Siphesihle Mathebula | operation insert count 9 | operation find count = 19
Siphesihle Maseko | operation insert count 9 | operation find count = 15
Lethabo Mohlala | operation insert count 7 | operation find count = 15
Luke Olyn | operation insert count 8 | operation find count = 13
Kamogelo Nkuna | operation insert count 8 | operation find count = 15
Onthatile Olyn | operation insert count 8 | operation find count = 17
Ayabonga Chauke | operation insert count 11 | operation find count = 21
Lethabo Cloete | operation insert count 9 | operation find count = 19
Luthando Booysen | operation insert count 8 | operation find count = 13
Noah Ndou | operation insert count 7 | operation find count = 19
Phenyo Nkuna | operation insert count 7 | operation find count = 17
Ava Shabangu | operation insert count 7 | operation find count = 13
Tshegofatso Van | operation insert count 8 | operation find count = 11
Katlego Klaas | operation insert count 8 | operation find count = 15
Emihle Modise | operation insert count 8 | operation find count = 13
Lingomso Daniels | operation insert count 9 | operation find count = 23
Leah Beukes | operation insert count 6 | operation find count = 17
Faith Mogale | operation insert count 8 | operation find count = 15
Bonolo Van | operation insert count 7 | operation find count = 21
Mia Nkosi | operation insert count 9 | operation find count = 19
Nkosenhle Jacobs | operation insert count 7 | operation find count = 23
Luphawu Visagie | operation insert count 9 | operation find count = 19
Lethabo Jack | operation insert count 6 | operation find count = 17
Aphelele Nkosi | operation insert count 9 | operation find count = 13
Bokamoso Mkhize | operation insert count 9 | operation find count = 19
Bonolo Dlamini | operation insert count 8 | operation find count = 9
Thato Ngobeni | operation insert count 8 | operation find count = 15
Lethabo Mogale | operation insert count 9 | operation find count = 9
Luke Ndlovu | operation insert count 7 | operation find count = 23
Othalive Mosia | operation insert count 9 | operation find count = 23
Lesedi Moloi | operation insert count 9 | operation find count = 15
Katlego Tshabalala | operation insert count 8 | operation find count = 21
Siphosethu Mahlangu | operation insert count 8 | operation find count = 15
Philasande Moloi | operation insert count 9 | operation find count = 19
Amogelang Nhlapo | operation insert count 8 | operation find count = 19
Olothando Olyn | operation insert count 10 | operation find count = 17
Onthatile Nhlapo | operation insert count 8 | operation find count = 21
Lebogang Radebe | operation insert count 7 | operation find count = 17
Joshua Mudau | operation insert count 9 | operation find count = 19
Junior Booi | operation insert count 7 | operation find count = 19
Luke Abrahams | operation insert count 7 | operation find count = 17
Lesedi Mkhize | operation insert count 9 | operation find count = 13
Aphelele Madikizela | operation insert count 8 | operation find count = 19
Omaatla Daniels | operation insert count 9 | operation find count = 13
Amogelang Nhlapo | operation insert count 6 | operation find count = 15
Naledi Khoza | operation insert count 10 | operation find count = 21
Thato Witbooi | operation insert count 7 | operation find count = 19
Bandile Mudau | operation insert count 8 | operation find count = 23
Faith Nkuna | operation insert count 9 | operation find count = 21
Luthando Motloung | operation insert count 9 | operation find count = 21
Okuhle Hendricks | operation insert count 8 | operation find count = 17
Reatlegile Olyn | operation insert count 11 | operation find count = 19
Ofentse Maluleke | operation insert count 9 | operation find count = 21
Lingomso Jack | operation insert count 7 | operation find count = 19
Banele Hendricks | operation insert count 8 | operation find count = 19
Faith Motloung | operation insert count 10 | operation find count = 19
Luke Peter | operation insert count 9 | operation find count = 13
Enzokuhle Hendricks | operation insert count 9 | operation find count = 17
Omaatla Smith | operation insert count 9 | operation find count = 17
Alunamda Van | operation insert count 8 | operation find count = 23
Ofentse Mkhize | operation insert count 8 | operation find count = 13
Joshua Booi | operation insert count 8 | operation find count = 17
Enzokuhle Dlamini | operation insert count 8 | operation find count = 17
Junior Ngwenya | operation insert count 7 | operation find count = 17
Siyabonga Sithole | operation insert count 8 | operation find count = 15
Warona Van | operation insert count 9 | operation find count = 19
Minenhle Mogale | operation insert count 8 | operation find count = 19
Rethabile Baloyi | operation insert count 7 | operation find count = 17
Leano Ngwenya | operation insert count 8 | operation find count = 13
Esihle Smith | operation insert count 9 | operation find count = 15
Lwandle Baloyi | operation insert count 6 | operation find count = 21
Ava Maseko | operation insert count 8 | operation find count = 23
Luke Malatji | operation insert count 9 | operation find count = 15
Omolemo Maluleke | operation insert count 9 | operation find count = 19
Lubanzi Olyn | operation insert count 8 | operation find count = 19
Karabo Mogale | operation insert count 8 | operation find count = 21
Omphile Baloyi | operation insert count 8 | operation find count = 21
Katlego Mogale | operation insert count 9 | operation find count = 19
Lethabo Peter | operation insert count 8 | operation find count = 3
Katlego Jacobs | operation insert count 8 | operation find count = 19
Isabella Gumede | operation insert count 8 | operation find count = 21
Amohelang Petersen | operation insert count 9 | operation find count = 19
Asemahle Peter | operation insert count 9 | operation find count = 17
Reatlegile Hendricks | operation insert count 8 | operation find count = 11
Iminathi Mokoena | operation insert count 9 | operation find count = 17
Relebohile Mohlala | operation insert count 11 | operation find count = 17
Omolemo Jacobs | operation insert count 8 | operation find count = 17
Lethabo Smith | operation insert count 9 | operation find count = 19
Liam Jack | operation insert count 7 | operation find count = 23
Naledi Baloyi | operation insert count 7 | operation find count = 19
Luke Mosia | operation insert count 8 | operation find count = 15
Olothando Radebe | operation insert count 11 | operation find count = 19
Asemahle Petersen | operation insert count 9 | operation find count = 11
Rorisang Mosia | operation insert count 8 | operation find count = 21
Katleho Dlamini | operation insert count 8 | operation find count = 17
Caleb Modise | operation insert count 9 | operation find count = 17
Katleho Mkhize | operation insert count 9 | operation find count = 19
Angel Petersen | operation insert count 9 | operation find count = 13
Lwandle Buthelezi | operation insert count 8 | operation find count = 13
Amogelang Dlamini | operation insert count 7 | operation find count = 17
Iminathi Mokoena | operation insert count 9 | operation find count = 17
Nkosenhle Radebe | operation insert count 8 | operation find count = 19
Caleb Baloyi | operation insert count 8 | operation find count = 21
Omaatla Abrahams | operation insert count 8 | operation find count = 19
Alunamda Khoza | operation insert count 8 | operation find count = 21
Lesedi Adams | operation insert count 8 | operation find count = 13
Mia Radebe | operation insert count 9 | operation find count = 19
Esihle Davids | operation insert count 9 | operation find count = 21
Bayanda Nhlapo | operation insert count 8 | operation find count = 17
Jayden Khumalo | operation insert count 8 | operation find count = 23
Oratile Jacobs | operation insert count 11 | operation find count = 21
Lethokuhle Mkhize | operation insert count 9 | operation find count = 15
Banele Tshabalala | operation insert count 9 | operation find count = 17
Ayabonga Adams | operation insert count 9 | operation find count = 19
Katlego Chauke | operation insert count 7 | operation find count = 21
Siphesihle Modise | operation insert count 9 | operation find count = 15
Philasande Nkosi | operation insert count 9 | operation find count = 15
Philasande Williams | operation insert count 8 | operation find count = 13
Amahle Malatji | operation insert count 9 | operation find count = 13
Thandolwethu Nkosi | operation insert count 9 | operation find count = 17
Bokamoso Witbooi | operation insert count 9 | operation find count = 11
Lethabo Mudau | operation insert count 9 | operation find count = 15
Siphosethu Maluleke | operation insert count 10 | operation find count = 21
Phenyo Smith | operation insert count 10 | operation find count = 19
Amohelang Mudau | operation insert count 10 | operation find count = 19
Noah Dyantyi | operation insert count 8 | operation find count = 19
Sphesihle Malatji | operation insert count 8 | operation find count = 21
Katleho Olyn | operation insert count 9 | operation find count = 15
Ofentse Klaas | operation insert count 10 | operation find count = 19
Karabo Mohlala | operation insert count 9 | operation find count = 11
Remofilwe Dlamini | operation insert count 8 | operation find count = 19
Amogelang Dyantyi | operation insert count 9 | operation find count = 13
Hlelokuhle Nhlapo | operation insert count 8 | operation find count = 17
Phenyo Tsotetsi | operation insert count 8 | operation find count = 17
Bokamoso Smith | operation insert count 10 | operation find count = 19
Kungawo Ndlovu | operation insert count 9 | operation find count = 15
Elijah Jack | operation insert count 7 | operation find count = 17
Likuwe Motaung | operation insert count 9 | operation find count = 17
Liam Maluleke | operation insert count 9 | operation find count = 19
Noah Visagie | operation insert count 8 | operation find count = 13
Angel Khoza | operation insert count 8 | operation find count = 17
Tshegofatso Chauke | operation insert count 8 | operation find count = 17
Esihle Mahlangu | operation insert count 9 | operation find count = 17
Jayden Petersen | operation insert count 9 | operation find count = 17
Oratile Klaas | operation insert count 8 | operation find count = 21
Thato Dlamini | operation insert count 9 | operation find count = 23
Othalive Malatji | operation insert count 10 | operation find count = 17
Iminathi Khoza | operation insert count 8 | operation find count = 21
Junior Jack | operation insert count 8 | operation find count = 21
Enzokuhle Booi | operation insert count 9 | operation find count = 11
Amahle Mthembu | operation insert count 8 | operation find count = 17
Reneilwe Mudau | operation insert count 10 | operation find count = 11
Mpho Radebe | operation insert count 9 | operation find count = 15
Relebohile Daniels | operation insert count 7 | operation find count = 19
Sphesihle Mudau | operation insert count 11 | operation find count = 19
Phenyo Adams | operation insert count 9 | operation find count = 15
Warona Tshabalala | operation insert count 8 | operation find count = 17
Khayone Gumede | operation insert count 8 | operation find count = 17
Alunamda Buthelezi | operation insert count 8 | operation find count = 21
Reneilwe Mosia | operation insert count 9 | operation find count = 19
Esihle Smith | operation insert count 10 | operation find count = 19
Omphile Buthelezi | operation insert count 9 | operation find count = 19
Katlego Van | operation insert count 12 | operation find count = 19
Siphosethu Louw | operation insert count 7 | operation find count = 19
Warona Moloi | operation insert count 9 | operation find count = 13
Lwandle Van | operation insert count 8 | operation find count = 17
Noah Visagie | operation insert count 8 | operation find count = 13
Lebogang Mthembu | operation insert count 9 | operation find count = 21
Bonolo Tshabalala | operation insert count 9 | operation find count = 19
Luphawu Smith | operation insert count 10 | operation find count = 21
Siphesihle Daniels | operation insert count 8 | operation find count = 23
Letlotlo Chauke | operation insert count 9 | operation find count = 21
Phenyo Shabangu | operation insert count 9 | operation find count = 19
Lethabo Mudau | operation insert count 9 | operation find count = 19
Thandolwethu Ngwenya | operation insert count 6 | operation find count = 9
Lethokuhle Maluleke | operation insert count 10 | operation find count = 17
Reatlegile Madikizela | operation insert count 10 | operation find count = 17
Noah Ndou | operation insert count 9 | operation find count = 21
