Bayanda Maseko | operation count = 1
Ofentse Abrahams | operation count = 2
Amogelang Dyantyi | operation count = 3
Lethokuhle Booi | operation count = 4
Reatlegile Maluleke | operation count = 5
Hlelokuhle Olyn | operation count = 6
Tshegofatso Nkuna | operation count = 7
Othalive Mofokeng | operation count = 8
Alunamda Witbooi | operation count = 9
Philasande Mokoena | operation count = 10
Melokuhle Booi | operation count = 11
Luthando Peter | operation count = 12
Reneilwe Hendricks | operation count = 13
Angel Peter | operation count = 14
Onthatile Beukes | operation count = 15
Caleb Mokoena | operation count = 16
Bokamoso Ngwenya | operation count = 17
Noah Visagie | operation count = 18
Bokamoso Moloi | operation count = 19
Hlelokuhle Shabangu | operation count = 20
Leano Chauke | operation count = 21
Olothando Van | operation count = 22
Ava Modise | operation count = 23
Olothando Mathebula | operation count = 24
Lesedi Klaas | operation count = 25
Ofentse Witbooi | operation count = 26
Kungawo Tsotetsi | operation count = 27
Leano Chauke | operation count = 28
Phenyo Moloi | operation count = 29
Thandolwethu Hendricks | operation count = 30
Siphesihle Khoza | operation count = 31
Lingomso Dlamini | operation count = 32
Leano Tsotetsi | operation count = 33
Lesedi Tsotetsi | operation count = 34
Ofentse Hendricks | operation count = 35
Lethabo Motloung | operation count = 36
Tshegofatso Klaas | operation count = 37
Bandile Nkosi | operation count = 38
Thato Sithole | operation count = 39
Melokuhle Maseko | operation count = 40
Siphesihle Booi | operation count = 41
Tshegofatso Adams | operation count = 42
Joshua Davids | operation count = 43
Rethabile Olyn | operation count = 44
Lebogang Cloete | operation count = 45
Iminathi Louw | operation count = 46
Siphosethu Maluleke | operation count = 47
Ava Moeng | operation count = 48
Lethabo Jacobs | operation count = 49
Esihle Visagie | operation count = 50
Kamogelo Klaas | operation count = 51
Iminathi Mnisi | operation count = 52
Kamogelo Cloete | operation count = 53
Angel Maluleke | operation count = 54
Kungawo Chauke | operation count = 55
Lethabo Modise | operation count = 56
Emihle Nkosi | operation count = 57
Lesedi Adams | operation count = 58
Tshegofatso Molefe | operation count = 59
Relebohile Ndlovu | operation count = 60
Omolemo Petersen | operation count = 61
Othalive Olyn | operation count = 62
Hlelokuhle Nhlapo | operation count = 63
Bandile Shabangu | operation count = 64
Lethokuhle Sithole | operation count = 65
Junior Mofokeng | operation count = 66
Lesedi Abrahams | operation count = 67
Likuwe Mahlangu | operation count = 68
Noah Mosia | operation count = 69
Kungawo Abrahams | operation count = 70
Reneilwe Mudau | operation count = 71
Letlotlo Witbooi | operation count = 72
Othalive Mudau | operation count = 73
Othalive Peter | operation count = 74
Phenyo Ngcobo | operation count = 75
Omphile Moeng | operation count = 76
Karabo Moloi | operation count = 77
